id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,annotation,notes,objective_coefficient
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('dump_c', 1.0), ('duri_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b1238,"OrderedDict([('bigg.reaction', 'DURIK1'), ('biocyc', 'META:DURIDKI-RXN'), ('ec-code', ['2.7.1.145', '2.7.1.21']), ('kegg.reaction', 'R02099'), ('metanetx.reaction', 'MNXR97817'), ('rhea', ['28206', '28207', '28208', '28209']), ('sbo', 'SBO:0000375')])",,
UPPRT,Uracil phosphoribosyltransferase,"OrderedDict([('ppi_c', 1.0), ('prpp_c', -1.0), ('ump_c', 1.0), ('ura_c', -1.0)])",0.0,1000.0,b2498,"OrderedDict([('bigg.reaction', 'UPPRT'), ('biocyc', 'META:URACIL-PRIBOSYLTRANS-RXN'), ('ec-code', '2.4.2.9'), ('kegg.reaction', 'R00966'), ('metanetx.reaction', 'MNXR105142'), ('rhea', ['13017', '13018', '13019', '13020']), ('sbo', 'SBO:0000375')])",,
CTPS2,CTP synthase (glutamine),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('ctp_c', 1.0), ('gln__L_c', -1.0), ('glu__L_c', 1.0), ('h2o_c', -1.0), ('h_c', 2.0), ('pi_c', 1.0), ('utp_c', -1.0)])",0.0,1000.0,b2780,"OrderedDict([('bigg.reaction', 'CTPS2'), ('biocyc', 'META:CTPSYN-RXN'), ('ec-code', '6.3.4.2'), ('kegg.reaction', 'R00573'), ('metanetx.reaction', 'MNXR96945'), ('rhea', ['26426', '26427', '26428', '26429']), ('sbo', 'SBO:0000375')])",,
NTD1_num1,5'-nucleotidase (dUMP),"OrderedDict([('dump_c', -1.0), ('duri_c', 1.0), ('h2o_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b2291,"OrderedDict([('bigg.reaction', 'NTD1'), ('biocyc', 'META:RXN-14143'), ('ec-code', ['3.1.3.5', '3.1.3.89']), ('kegg.reaction', 'R02102'), ('metanetx.reaction', 'MNXR102028'), ('rhea', ['29355', '29356', '29357', '29358']), ('sbo', 'SBO:0000375')])",,
NTD7_num1,5'-nucleotidase (AMP),"OrderedDict([('adn_c', 1.0), ('amp_c', -1.0), ('h2o_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b3399,"OrderedDict([('bigg.reaction', 'NTD7'), ('biocyc', 'META:AMP-DEPHOSPHORYLATION-RXN'), ('ec-code', '3.1.3.5'), ('kegg.reaction', 'R00183'), ('metanetx.reaction', 'MNXR102037'), ('rhea', ['29375', '29376', '29377', '29378']), ('sbo', 'SBO:0000375')])",,
PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)","OrderedDict([('uagmda_c', 1.0), ('udcpp_c', -1.0), ('ugmda_c', -1.0), ('ump_c', 1.0)])",0.0,1000.0,b0087,"OrderedDict([('bigg.reaction', 'PAPPT3'), ('ec-code', '2.7.8.13'), ('metanetx.reaction', 'MNXR102373'), ('sbo', 'SBO:0000375')])",,
UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,"OrderedDict([('h_c', 1.0), ('uaagmda_c', 1.0), ('uacgam_c', -1.0), ('uagmda_c', -1.0), ('udp_c', 1.0)])",0.0,1000.0,b0090,"OrderedDict([('bigg.reaction', 'UAGPT3'), ('ec-code', '2.4.1.227'), ('metanetx.reaction', 'MNXR105037'), ('sbo', 'SBO:0000375')])",,
EX_ttdcea_e,Tetradecenoate (n-C14:1) exchange,"OrderedDict([('ttdcea_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'ttdcea'), ('sbo', 'SBO:0000627')])",,
F6PA_num1,Fructose 6-phosphate aldolase,"OrderedDict([('dha_c', 1.0), ('f6p_c', -1.0), ('g3p_c', 1.0)])",0.0,1000.0,b0825,"OrderedDict([('bigg.reaction', 'F6PA'), ('biocyc', 'META:RXN0-313'), ('ec-code', '4.1.2.-'), ('metanetx.reaction', 'MNXR99075'), ('rhea', ['28002', '28003', '28004', '28005']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'F6PA_reverse')])",
AGMHE,ADP-D-glycero-D-manno-heptose epimerase,"OrderedDict([('adphep_DD_c', -1.0), ('adphep_LD_c', 1.0)])",0.0,1000.0,b3619,"OrderedDict([('bigg.reaction', 'AGMHE'), ('biocyc', 'META:5.1.3.20-RXN'), ('ec-code', '5.1.3.20'), ('kegg.reaction', 'R05176'), ('metanetx.reaction', 'MNXR95551'), ('rhea', ['17577', '17578', '17579', '17580']), ('sbo', 'SBO:0000375')])",,
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,"OrderedDict([('adphep_DD_c', 1.0), ('atp_c', -1.0), ('gmhep1p_c', -1.0), ('h_c', -1.0), ('ppi_c', 1.0)])",0.0,1000.0,b3052,"OrderedDict([('bigg.reaction', 'GMHEPAT'), ('biocyc', 'META:RXN0-4342'), ('ec-code', '2.7.7.70'), ('kegg.reaction', 'R05644'), ('metanetx.reaction', 'MNXR100378'), ('rhea', ['27465', '27466', '27467', '27468']), ('sbo', 'SBO:0000375')])",,
EX_h2s_e,Hydrogen sulfide exchange,"OrderedDict([('h2s_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'h2s'), ('sbo', 'SBO:0000627')])",,
EX_gthrd_e,Reduced glutathione exchange,"OrderedDict([('gthrd_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'gthrd'), ('sbo', 'SBO:0000627')])",,
IDOND,L-idonate 5-dehydrogenase,"OrderedDict([('5dglcn_c', -1.0), ('h_c', -1.0), ('idon__L_c', 1.0), ('nad_c', 1.0), ('nadh_c', -1.0)])",0.0,1000.0,b4267,"OrderedDict([('bigg.reaction', 'IDOND'), ('biocyc', 'META:RXN-12107'), ('ec-code', ['1.1.1.264', '1.1.1.366']), ('kegg.reaction', 'R05683'), ('metanetx.reaction', 'MNXR100801'), ('rhea', ['21172', '21173', '21174', '21175']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'IDOND_reverse')])",
IDOND2,L-indonate 5-dehydrogenase (NADP),"OrderedDict([('5dglcn_c', -1.0), ('h_c', -1.0), ('idon__L_c', 1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b4267,"OrderedDict([('bigg.reaction', 'IDOND2'), ('biocyc', 'META:L-IDONATE-2-DEHYDROGENASE-RXN'), ('ec-code', '1.1.1.264'), ('kegg.reaction', 'R05684'), ('metanetx.reaction', 'MNXR100802'), ('rhea', ['21176', '21177', '21178', '21179']), ('sbo', 'SBO:0000375')])",,
GLYCLTDx_num1,Glycolate dehydrogenase (NAD),"OrderedDict([('glx_c', -1.0), ('glyclt_c', 1.0), ('h_c', -1.0), ('nad_c', 1.0), ('nadh_c', -1.0)])",0.0,1000.0,b3553,"OrderedDict([('bigg.reaction', 'GLYCLTDx'), ('biocyc', 'META:GLYCOLATE-REDUCTASE-RXN'), ('ec-code', ['1.1.1.26', '1.1.1.29', '1.1.1.79']), ('kegg.reaction', 'R00717'), ('metanetx.reaction', 'MNXR100331'), ('rhea', ['18229', '18230', '18231', '18232']), ('sbo', 'SBO:0000375')])",,
HPYRRy_num1,Hydroxypyruvate reductase (NADPH),"OrderedDict([('glyc__R_c', 1.0), ('h_c', -1.0), ('hpyr_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b1033,"OrderedDict([('bigg.reaction', 'HPYRRy'), ('biocyc', 'META:RXN0-300'), ('ec-code', ['1.1.1.-', '1.1.1.79', '1.1.1.81']), ('kegg.reaction', 'R01392'), ('metanetx.reaction', 'MNXR100336'), ('rhea', ['18657', '18658', '18659', '18660']), ('sbo', 'SBO:0000375')])",,
ACODA,Acetylornithine deacetylase,"OrderedDict([('ac_c', 1.0), ('acorn_c', -1.0), ('h2o_c', -1.0), ('orn_c', 1.0)])",0.0,1000.0,b3957,"OrderedDict([('bigg.reaction', 'ACODA'), ('biocyc', 'META:ACETYLORNDEACET-RXN'), ('ec-code', ['3.5.1.14', '3.5.1.16']), ('kegg.reaction', 'R00669'), ('metanetx.reaction', 'MNXR95377'), ('rhea', ['15941', '15942', '15943', '15944']), ('sbo', 'SBO:0000375')])",,
ADA,Adenosine deaminase,"OrderedDict([('adn_c', -1.0), ('h2o_c', -1.0), ('h_c', -1.0), ('ins_c', 1.0), ('nh4_c', 1.0)])",0.0,1000.0,b1623,"OrderedDict([('bigg.reaction', 'ADA'), ('biocyc', 'META:ADENODEAMIN-RXN'), ('ec-code', '3.5.4.4'), ('kegg.reaction', 'R01560'), ('metanetx.reaction', 'MNXR95432'), ('rhea', ['24408', '24409', '24410', '24411']), ('sbo', 'SBO:0000375')])",,
DADA,Deoxyadenosine deaminase,"OrderedDict([('dad_2_c', -1.0), ('din_c', 1.0), ('h2o_c', -1.0), ('h_c', -1.0), ('nh4_c', 1.0)])",0.0,1000.0,b1623,"OrderedDict([('bigg.reaction', 'DADA'), ('biocyc', 'META:ADDALT-RXN'), ('ec-code', '3.5.4.4'), ('kegg.reaction', 'R02556'), ('metanetx.reaction', 'MNXR97076'), ('rhea', ['28190', '28191', '28192', '28193']), ('sbo', 'SBO:0000375')])",,
ADD,Adenine deaminase,"OrderedDict([('ade_c', -1.0), ('h2o_c', -1.0), ('h_c', -1.0), ('hxan_c', 1.0), ('nh4_c', 1.0)])",0.0,1000.0,b3665,"OrderedDict([('bigg.reaction', 'ADD'), ('biocyc', 'META:ADENINE-DEAMINASE-RXN'), ('ec-code', '3.5.4.2'), ('kegg.reaction', 'R01244'), ('metanetx.reaction', 'MNXR95443'), ('rhea', ['23688', '23689', '23690', '23691']), ('sbo', 'SBO:0000375')])",,
ADSS,Adenylosuccinate synthase,"OrderedDict([('asp__L_c', -1.0), ('dcamp_c', 1.0), ('gdp_c', 1.0), ('gtp_c', -1.0), ('h_c', 2.0), ('imp_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b4177,"OrderedDict([('bigg.reaction', 'ADSS'), ('biocyc', 'META:ADENYLOSUCCINATE-SYNTHASE-RXN'), ('ec-code', '6.3.4.4'), ('kegg.reaction', 'R01135'), ('metanetx.reaction', 'MNXR95495'), ('rhea', ['15753', '15754', '15755', '15756']), ('sbo', 'SBO:0000375')])",,
AGDC,N-acetylglucosamine-6-phosphate deacetylase,"OrderedDict([('ac_c', 1.0), ('acgam6p_c', -1.0), ('gam6p_c', 1.0), ('h2o_c', -1.0)])",0.0,1000.0,b0677,"OrderedDict([('bigg.reaction', 'AGDC'), ('biocyc', 'META:NAG6PDEACET-RXN'), ('ec-code', '3.5.1.25'), ('kegg.reaction', 'R02059'), ('metanetx.reaction', 'MNXR95528'), ('rhea', ['22936', '22937', '22938', '22939']), ('sbo', 'SBO:0000375')])",,
ASNN_num1,L-asparaginase,"OrderedDict([('asn__L_c', -1.0), ('asp__L_c', 1.0), ('h2o_c', -1.0), ('nh4_c', 1.0)])",0.0,1000.0,b1767,"OrderedDict([('bigg.reaction', 'ASNN'), ('biocyc', 'META:ASPARAGHYD-RXN'), ('ec-code', ['3.5.1.1', '3.5.1.38', '3.5.5.4']), ('kegg.reaction', 'R00485'), ('metanetx.reaction', 'MNXR96056'), ('rhea', ['21016', '21017', '21018', '21019']), ('sbo', 'SBO:0000375')])",,
ASNS2_num1,Asparagine synthetase,"OrderedDict([('amp_c', 1.0), ('asn__L_c', 1.0), ('asp__L_c', -1.0), ('atp_c', -1.0), ('h_c', 1.0), ('nh4_c', -1.0), ('ppi_c', 1.0)])",0.0,1000.0,b3744,"OrderedDict([('bigg.reaction', 'ASNS2'), ('biocyc', 'META:ASNSYNA-RXN'), ('ec-code', ['6.3.1.1', '6.3.5.4']), ('kegg.reaction', 'R00483'), ('metanetx.reaction', 'MNXR96060'), ('rhea', ['11372', '11373', '11374', '11375']), ('sbo', 'SBO:0000375')])",,
ASPCT_num1,Aspartate carbamoyltransferase,"OrderedDict([('asp__L_c', -1.0), ('cbasp_c', 1.0), ('cbp_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0)])",0.0,1000.0,b4244 and b4245,"OrderedDict([('bigg.reaction', 'ASPCT'), ('biocyc', 'META:ASPCARBTRANS-RXN'), ('ec-code', '2.1.3.2'), ('kegg.reaction', 'R01397'), ('metanetx.reaction', 'MNXR96080'), ('rhea', ['20013', '20014', '20015', '20016']), ('sbo', 'SBO:0000375')])",,
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),"OrderedDict([('dmpp_c', 1.0), ('h2mb4p_c', -1.0), ('h2o_c', 1.0), ('h_c', -1.0), ('nad_c', 1.0), ('nadh_c', -1.0)])",0.0,1000.0,b0029,"OrderedDict([('bigg.reaction', 'DMPPS'), ('ec-code', '1.17.1.2'), ('metanetx.reaction', 'MNXR97524'), ('sbo', 'SBO:0000375')])",,
MCOATA,Malonyl-CoA-ACP transacylase,"OrderedDict([('ACP_c', -1.0), ('coa_c', 1.0), ('malACP_c', 1.0), ('malcoa_c', -1.0)])",0.0,1000.0,b1094 and b1092,"OrderedDict([('bigg.reaction', 'MCOATA'), ('biocyc', 'META:MALONYL-COA-ACP-TRANSACYL-RXN'), ('ec-code', ['2.3.1.-', '2.3.1.0', '2.3.1.39', '2.3.1.85', '2.3.1.86']), ('kegg.reaction', 'R01626'), ('metanetx.reaction', 'MNXR101421'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'MCOATA_reverse')])",
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),"OrderedDict([('h2mb4p_c', -1.0), ('h2o_c', 1.0), ('h_c', -1.0), ('ipdp_c', 1.0), ('nad_c', 1.0), ('nadh_c', -1.0)])",0.0,1000.0,b0029,"OrderedDict([('bigg.reaction', 'IPDPS'), ('ec-code', '1.17.1.2'), ('metanetx.reaction', 'MNXR100874'), ('sbo', 'SBO:0000375')])",,
DAPE,Diaminopimelate epimerase,"OrderedDict([('26dap_LL_c', -1.0), ('26dap__M_c', 1.0)])",0.0,1000.0,b3809,"OrderedDict([('bigg.reaction', 'DAPE'), ('biocyc', 'META:DIAMINOPIMEPIM-RXN'), ('ec-code', '5.1.1.7'), ('kegg.reaction', 'R02735'), ('metanetx.reaction', 'MNXR97143'), ('rhea', ['15393', '15394', '15395', '15396']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'DAPE_reverse')])",
DHDPRy,Dihydrodipicolinate reductase (NADPH),"OrderedDict([('23dhdp_c', -1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('thdp_c', 1.0)])",0.0,1000.0,b0031,"OrderedDict([('bigg.reaction', 'DHDPRy'), ('ec-code', '1.3.1.26'), ('metanetx.reaction', 'MNXR97393'), ('sbo', 'SBO:0000375')])",,
HSK,Homoserine kinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h_c', 1.0), ('hom__L_c', -1.0), ('phom_c', 1.0)])",0.0,1000.0,b0003,"OrderedDict([('bigg.reaction', 'HSK'), ('biocyc', 'META:HOMOSERKIN-RXN'), ('ec-code', '2.7.1.39'), ('kegg.reaction', 'R01771'), ('metanetx.reaction', 'MNXR100737'), ('rhea', ['13985', '13986', '13987', '13988']), ('sbo', 'SBO:0000375')])",,
SDPTA_num1,Succinyldiaminopimelate transaminase,"OrderedDict([('akg_c', -1.0), ('glu__L_c', 1.0), ('sl26da_c', -1.0), ('sl2a6o_c', 1.0)])",0.0,1000.0,b2662,"OrderedDict([('bigg.reaction', 'SDPTA'), ('biocyc', 'META:SUCCINYLDIAMINOPIMTRANS-RXN'), ('ec-code', '2.6.1.17'), ('kegg.reaction', 'R04475'), ('metanetx.reaction', 'MNXR104301'), ('rhea', ['11960', '11961', '11962', '11963']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'SDPTA_reverse')])",
THRS,Threonine synthase,"OrderedDict([('h2o_c', -1.0), ('phom_c', -1.0), ('pi_c', 1.0), ('thr__L_c', 1.0)])",0.0,1000.0,b0004,"OrderedDict([('bigg.reaction', 'THRS'), ('biocyc', 'META:THRESYN-RXN'), ('ec-code', '4.2.3.1'), ('kegg.reaction', 'R01466'), ('metanetx.reaction', 'MNXR104846'), ('rhea', ['10840', '10841', '10842', '10843']), ('sbo', 'SBO:0000375')])",,
HSST,Homoserine O-succinyltransferase,"OrderedDict([('coa_c', 1.0), ('hom__L_c', -1.0), ('succoa_c', -1.0), ('suchms_c', 1.0)])",0.0,1000.0,b4013,"OrderedDict([('bigg.reaction', 'HSST'), ('biocyc', 'META:HOMSUCTRAN-RXN'), ('ec-code', '2.3.1.46'), ('kegg.reaction', 'R01777'), ('metanetx.reaction', 'MNXR100741'), ('rhea', ['22008', '22009', '22010', '22011']), ('sbo', 'SBO:0000375')])",,
PPNDH,Prephenate dehydratase,"OrderedDict([('co2_c', 1.0), ('h2o_c', 1.0), ('h_c', -1.0), ('phpyr_c', 1.0), ('pphn_c', -1.0)])",0.0,1000.0,b2599,"OrderedDict([('bigg.reaction', 'PPNDH'), ('biocyc', 'META:PREPHENATEDEHYDRAT-RXN'), ('ec-code', ['4.2.1.51', '4.2.1.91']), ('kegg.reaction', 'R01373'), ('metanetx.reaction', 'MNXR103123'), ('sbo', 'SBO:0000375')])",,
DDPA_num1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,"OrderedDict([('2dda7p_c', 1.0), ('e4p_c', -1.0), ('h2o_c', -1.0), ('pep_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b0754,"OrderedDict([('bigg.reaction', 'DDPA'), ('biocyc', 'META:DAHPSYN-RXN'), ('ec-code', '2.5.1.54'), ('kegg.reaction', 'R01826'), ('metanetx.reaction', 'MNXR97218'), ('rhea', ['14717', '14718', '14719', '14720']), ('sbo', 'SBO:0000375')])",,
NMNDA,Nicotinamide-nucleotide amidase,"OrderedDict([('h2o_c', -1.0), ('nh4_c', 1.0), ('nicrnt_c', 1.0), ('nmn_c', -1.0)])",0.0,1000.0,b2700,"OrderedDict([('bigg.reaction', 'NMNDA'), ('biocyc', 'META:NMNAMIDOHYDRO-RXN'), ('ec-code', '3.5.1.42'), ('kegg.reaction', 'R02322'), ('metanetx.reaction', 'MNXR101969'), ('rhea', ['12400', '12401', '12402', '12403']), ('sbo', 'SBO:0000375')])",,
NNAM,Nicotinamidase,"OrderedDict([('h2o_c', -1.0), ('nac_c', 1.0), ('ncam_c', -1.0), ('nh4_c', 1.0)])",0.0,1000.0,b1768,"OrderedDict([('bigg.reaction', 'NNAM'), ('biocyc', 'META:NICOTINAMID-RXN'), ('ec-code', '3.5.1.19'), ('kegg.reaction', 'R01268'), ('metanetx.reaction', 'MNXR101977'), ('rhea', ['14545', '14546', '14547', '14548']), ('sbo', 'SBO:0000375')])",,
P5CD,1-pyrroline-5-carboxylate dehydrogenase,"OrderedDict([('1pyr5c_c', -1.0), ('glu__L_c', 1.0), ('h2o_c', -2.0), ('h_c', 1.0), ('nad_c', -1.0), ('nadh_c', 1.0)])",0.0,1000.0,b1014,"OrderedDict([('bigg.reaction', 'P5CD'), ('biocyc', 'META:PYRROLINECARBDEHYDROG-RXN'), ('ec-code', ['1.2.1.88', '1.5.1.12']), ('kegg.reaction', 'R00707'), ('metanetx.reaction', 'MNXR102301'), ('rhea', ['16417', '16418', '16419', '16420']), ('sbo', 'SBO:0000375')])",,
SPMDAT1,Spermidine acetyltransferase,"OrderedDict([('N1aspmd_c', 1.0), ('accoa_c', -1.0), ('coa_c', 1.0), ('h_c', 1.0), ('spmd_c', -1.0)])",0.0,1000.0,b1584,"OrderedDict([('bigg.reaction', 'SPMDAT1'), ('biocyc', 'META:SPERMACTRAN-RXN'), ('ec-code', '2.3.1.57'), ('metanetx.reaction', 'MNXR104491'), ('rhea', ['28150', '28151', '28152', '28153']), ('sbo', 'SBO:0000375')])",,
SPMDAT2,Spermidine acetyltransferase (N8),"OrderedDict([('accoa_c', -1.0), ('coa_c', 1.0), ('h_c', 1.0), ('n8aspmd_c', 1.0), ('spmd_c', -1.0)])",0.0,1000.0,b1584,"OrderedDict([('bigg.reaction', 'SPMDAT2'), ('biocyc', 'META:RXN0-7165'), ('ec-code', ['2.3.1.57', '2.6.1.29']), ('metanetx.reaction', 'MNXR104492'), ('rhea', ['28270', '28271', '28272', '28273']), ('sbo', 'SBO:0000375')])",,
TDPADGAT,"DTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase","OrderedDict([('accoa_c', -1.0), ('coa_c', 1.0), ('dtdp4aaddg_c', 1.0), ('dtdp4addg_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b3790,"OrderedDict([('bigg.reaction', 'TDPADGAT'), ('biocyc', 'META:TDPFUCACTRANS-RXN'), ('ec-code', '2.3.1.210'), ('kegg.reaction', 'R10142'), ('metanetx.reaction', 'MNXR104757'), ('rhea', ['28763', '28764', '28765', '28766', '34443', '34444', '34445', '34446']), ('sbo', 'SBO:0000375')])",,
MALS_num1,Malate synthase,"OrderedDict([('accoa_c', -1.0), ('coa_c', 1.0), ('glx_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('mal__L_c', 1.0)])",0.0,1000.0,b4014,"OrderedDict([('bigg.reaction', 'MALS'), ('biocyc', 'META:MALSYN-RXN'), ('ec-code', '2.3.3.9'), ('kegg.reaction', 'R00472'), ('metanetx.reaction', 'MNXR101347'), ('rhea', ['18181', '18182', '18183', '18184']), ('sbo', 'SBO:0000375')])",,
TRE6PP,Trehalose-phosphatase,"OrderedDict([('h2o_c', -1.0), ('pi_c', 1.0), ('tre6p_c', -1.0), ('tre_c', 1.0)])",0.0,1000.0,b1897,"OrderedDict([('bigg.reaction', 'TRE6PP'), ('biocyc', 'META:TREHALOSEPHOSPHA-RXN'), ('ec-code', '3.1.3.12'), ('kegg.reaction', ['R02778', 'R06228']), ('metanetx.reaction', 'MNXR104926'), ('rhea', ['23420', '23421', '23422', '23423']), ('sbo', 'SBO:0000375')])",,
EX_met__D_e,D-Methionine exchange,"OrderedDict([('met__D_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'met__D'), ('sbo', 'SBO:0000627')])",,
EX_tartr__L_e,L-tartrate exchange,"OrderedDict([('tartr__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'tartr__L'), ('sbo', 'SBO:0000627')])",,
EX_taur_e,Taurine exchange,"OrderedDict([('taur_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'taur'), ('sbo', 'SBO:0000627')])",,
EX_maltpt_e,Maltopentaose exchange,"OrderedDict([('maltpt_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'maltpt'), ('sbo', 'SBO:0000627')])",,
EX_glcur_e,D-Glucuronate exchange,"OrderedDict([('glcur_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'glcur'), ('sbo', 'SBO:0000627')])",,
ADPRDP_num1,ADPribose diphosphatase,"OrderedDict([('adprib_c', -1.0), ('amp_c', 1.0), ('h2o_c', -1.0), ('h_c', 2.0), ('r5p_c', 1.0)])",0.0,1000.0,b3397,"OrderedDict([('bigg.reaction', 'ADPRDP'), ('ec-code', '3.6.1.13'), ('metanetx.reaction', 'MNXR95480'), ('sbo', 'SBO:0000375')])",,
ARAI,L-arabinose isomerase,"OrderedDict([('arab__L_c', -1.0), ('rbl__L_c', 1.0)])",0.0,1000.0,b0062,"OrderedDict([('bigg.reaction', 'ARAI'), ('ec-code', ['5.3.1.4', '5.3.1.5']), ('metanetx.reaction', 'MNXR95922'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'ARAI_reverse')])",
M1PD,Mannitol-1-phosphate 5-dehydrogenase,"OrderedDict([('f6p_c', 1.0), ('h_c', 1.0), ('mnl1p_c', -1.0), ('nad_c', -1.0), ('nadh_c', 1.0)])",0.0,1000.0,b3600,"OrderedDict([('bigg.reaction', 'M1PD'), ('biocyc', 'META:MANNPDEHYDROG-RXN'), ('ec-code', '1.1.1.17'), ('kegg.reaction', 'R02703'), ('metanetx.reaction', 'MNXR101311'), ('rhea', ['19661', '19662', '19663', '19664']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'M1PD_reverse')])",
G3PD2,Glycerol-3-phosphate dehydrogenase (NADP),"OrderedDict([('dhap_c', 1.0), ('glyc3p_c', -1.0), ('h_c', 1.0), ('nadp_c', -1.0), ('nadph_c', 1.0)])",0.0,1000.0,b3608,"OrderedDict([('bigg.reaction', 'G3PD2'), ('ec-code', '1.1.1.94'), ('kegg.reaction', 'R00844'), ('metanetx.reaction', 'MNXR99877'), ('rhea', ['11096', '11097', '11098', '11099']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'G3PD2_reverse')])",
GALS3,A-galactosidase (melibiose),"OrderedDict([('gal_c', 1.0), ('glc__D_c', 1.0), ('h2o_c', -1.0), ('melib_c', -1.0)])",0.0,1000.0,b4119,"OrderedDict([('bigg.reaction', 'GALS3'), ('biocyc', 'META:ALPHAGALACTOSID-RXN'), ('ec-code', ['3.2.1.20', '3.2.1.22']), ('kegg.reaction', ['R01101', 'R06091']), ('metanetx.reaction', 'MNXR97317'), ('sbo', 'SBO:0000375')])",,
FCI,L-fucose isomerase,"OrderedDict([('fcl__L_c', 1.0), ('fuc__L_c', -1.0)])",0.0,1000.0,b2802,"OrderedDict([('bigg.reaction', 'FCI'), ('ec-code', '5.3.1.3'), ('metanetx.reaction', 'MNXR99468'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'FCI_reverse')])",
FCLK,L-fuculokinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('fc1p_c', 1.0), ('fcl__L_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b2803,"OrderedDict([('bigg.reaction', 'FCLK'), ('biocyc', 'META:FUCULOKIN-RXN'), ('ec-code', '2.7.1.51'), ('kegg.reaction', 'R03241'), ('metanetx.reaction', 'MNXR99469'), ('rhea', ['12376', '12377', '12378', '12379']), ('sbo', 'SBO:0000375')])",,
FCLPA_num1,L-fuculose 1-phosphate aldolase,"OrderedDict([('dhap_c', 1.0), ('fc1p_c', -1.0), ('lald__L_c', 1.0)])",0.0,1000.0,b2738,"OrderedDict([('bigg.reaction', 'FCLPA'), ('biocyc', 'META:FUCPALDOL-RXN'), ('ec-code', '4.1.2.17'), ('kegg.reaction', 'R02262'), ('metanetx.reaction', 'MNXR99470'), ('rhea', ['12933', '12934', '12935', '12936']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'FCLPA_reverse')])",
ACCOAL_num1,Acetate-CoA ligase (ADP-forming),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('coa_c', -1.0), ('pi_c', 1.0), ('ppa_c', -1.0), ('ppcoa_c', 1.0)])",0.0,1000.0,b4069,"OrderedDict([('bigg.reaction', 'ACCOAL'), ('ec-code', '6.2.1.13'), ('metanetx.reaction', 'MNXR95221'), ('sbo', 'SBO:0000375')])",,
